id,name,pref,area,home,original,simple,format,princess,luxury
1526,St．AQUA（サン・アクアチャペル）,東京都,お台場・豊洲・竹芝・晴海周辺の東京ベイエリア,7,3,8,12,4,3
1587,TRUNK HOTEL,東京都,青山・表参道・渋谷・原宿,6,7,4,18,6,8
1594,BANQUET　RESTAURANT　FUKUROU,埼玉県,大宮・さいたま・浦和・川口周辺,5,3,7,4,1,2
1600,Fish Bank TOKYO（フィッシュバンク トウキョウ）,東京都,銀座,3,2,2,10,3,5
1615,日本工業倶楽部,東京都,東京駅・皇居周辺,2,2,3,17,3,3
1630,ラグナスイート名古屋　ホテル＆ウエディング,愛知県,名古屋市・周辺,2,3,4,10,2,4
1631,ラグナヴェールNAGOYA,愛知県,名古屋市・周辺,5,5,4,11,2,4
1634,ANAクラウンプラザホテルグランコート名古屋,愛知県,名古屋市・周辺,2,2,4,13,3,7
1726,マリエカリヨン名古屋,愛知県,名古屋市・周辺,4,2,2,10,6,5
1732,アルカンシエル luxe mariage 名古屋,愛知県,名古屋市・周辺,3,3,3,11,4,5
1741,指帆亭,神奈川県,鎌倉・湘南・葉山,4,4,4,9,3,6
1748,コンセプト　エフブンノイチ,愛知県,名古屋市・周辺,3,4,5,9,2,2
1749,大國魂神社 結婚式場,東京都,立川・八王子・町田・23区以外,3,1,2,8,1,3
1750,KAWACHIYA,岐阜県,岐阜県全域,2,4,5,12,4,6
1751,LA TABLE Aoyama,愛知県,尾張・知多・りんくう,6,7,6,1,1,2
1752,MAXI MANIS,愛知県,西三河,6,6,6,6,4,4
1753,ヴィラ　ド　ナチュール,愛知県,西三河,6,6,6,6,4,3
1755,アールベルアンジェ名古屋,愛知県,名古屋市・周辺,6,3,2,10,2,3
1766,名古屋マリオットアソシアホテル,愛知県,名古屋市・周辺,1,3,4,14,3,8
1783,迎賓館　サクラヒルズ川上別荘,岐阜県,岐阜県全域,3,4,4,11,4,6
1789,NEST BY the SEA,愛知県,尾張・知多・りんくう,6,7,6,1,1,2
1792,XEX　TOKYO,東京都,東京駅・皇居周辺,5,3,4,12,2,5
1796,XEX　日本橋,東京都,東京駅・皇居周辺,5,4,4,12,4,3
1798,ラグナヴェールOSAKA,大阪府,大阪市北部・北摂・京阪,2,4,4,9,3,4
1799,ラグナヴェールPREMIER,大阪府,大阪市北部・北摂・京阪,2,0,2,2,1,5
1800,ア・ラ・モードパレ＆ザ・リゾート,兵庫県,神戸・淡路島・阪神間,3,5,3,9,3,5
1801,覚王山ル・アンジェ教会,愛知県,名古屋市・周辺,2,4,4,13,3,6
1803,ENOTECA PINCHIORRI,愛知県,名古屋市・周辺,3,4,5,10,3,4
1804,Dubonnet,愛知県,名古屋市・周辺,5,5,5,7,2,2
1809,Wedding of Legend GLASTONIA（グラストニア）,愛知県,名古屋市・周辺,2,5,2,11,4,6
1810,THE KAWABUN NAGOYA,愛知県,名古屋市・周辺,6,2,3,12,2,6
1811,THE NANZAN HOUSE,愛知県,名古屋市・周辺,6,1,1,6,1,3
1812,Le chic unjour（ラシック　アンジュール）,東京都,銀座,5,6,4,13,4,3
1820,スウィートローゼスクラブ岡崎,愛知県,西三河,4,5,2,11,6,6
1822,カサ・デ・アンジェラ青山,東京都,青山・表参道・渋谷・原宿,6,1,1,9,8,6
1823,コートヤード・マリオット銀座東武ホテル,東京都,銀座,2,3,4,16,3,3
1826,ザ・グラン銀座,東京都,銀座,3,5,1,15,3,10
1827,ステラ・デル・アンジェロ,埼玉県,大宮・さいたま・浦和・川口周辺,5,6,3,13,9,7
